OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
43096,2021,CA,USF,KNF,ANTELOPE,00006454,2021/08/01 00:00:00+00,2022/01/03 00:00:00+00,1,7,1,145631.75,"4098977E-B34D-40C3-8F34-2B913217503A, includes Baird perimeter INC NUM 00006530",,,,,2020,509731.64688243,1055549372.81789
43102,2021,CA,USF,ENF,CALDOR,00024030,2021/08/15 00:00:00+00,2021/11/18 00:00:00+00,14,7,1,221786.39,E6C053C8-A346-43FB-9C29-632BC7536717,,,,,2020,472891.282432885,1476039182.01235
43103,2021,CA,USF,SQF,WALKERS,00002758,2021/08/15 00:00:00+00,2021/12/08 00:00:00+00,1,7,1,8778.7842,751BAEA9-D0BC-43AF-AE3E-34CBFB059110,,,,,2020,83505.4385287886,54817879.2429518
43113,2021,CA,USF,SHF,MONUMENT,00001187,2021/07/31 00:00:00+00,2021/11/03 00:00:00+00,1,7,1,223107.89,9CF3A69A-A888-4BCD-AA7A-703D75D47E78,,,,,2020,535745.115358217,1574029698.76068
43114,2021,CA,USF,SRF,MCCASH,00000651,2021/08/01 00:00:00+00,2021/10/27 00:00:00+00,1,7,1,94970.469,D294B9CA-4CE7-46C5-874B-E12EBE925E1F,,,,,2020,418328.565700505,687051428.513806
43115,2021,CA,USF,LPF,ALISAL,00002759,2021/10/11 00:00:00+00,2021/12/01 00:00:00+00,1,7,1,16953.238,B6304F5D-0658-49A8-BE97-64D4B17E7833,,,,,2020,128410.987626065,101244824.874189
43125,2020,CA,CDF,RRU,APPLE,00096640,2020/07/31 00:00:00+00,2020/11/15 00:00:00+00,2,1,1,33235.797,92EB6A48-F988-48C5-BE65-EB3140DC6E27,,,,,2020,153641.745740401,196302156.482363
43131,2021,CA,BLM,CND,FRENCH,00002796,2021/08/18 00:00:00+00,2021/10/19 00:00:00+00,14,7,1,26535.057,{7E9BE942-1E0A-4350-9650-F71A3D17EB10},,,,,2020,179208.53809316,163150302.083027
43153,2021,CA,BIA,TIA,WINDY,00003058,2021/09/10 00:00:00+00,2021/11/11 00:00:00+00,1,7,1,97528.266,,,,,,2020,326999.085004288,603989861.125499
43156,2021,CA,CDF,MMU,RIVER,00014714,2021/07/11 00:00:00+00,2021/07/19 00:00:00+00,14,8,1,9655.1885,,,,,,2020,70479.3167254011,61910650.9225455
43182,2021,CA,CDF,BTU,DIXIE,00009205,2021/07/14 00:00:00+00,2021/10/25 00:00:00+00,11,7,1,963405.44,"E9DB628D-DFB7-4C85-BCD6-1254574D946B, contains Evans -INC #00001358- and Fly -INC #00001273-",,,,,2020,2010262.44825026,6692866164.01717
43183,2021,CA,USF,KNF,RIVER COMPLEX,00006385,2021/07/31 00:00:00+00,2021/10/25 00:00:00+00,1,7,1,199354.09,"includes Haypress -INC #00006414-, Summer -INC #00006376-, and Cronan -INC #00006381-",RIVER COMPLEX,00006385,,,2020,1615527.5141094,1422803378.88029
43594,2022,CA,CDF,MMU,OAK,00016149,2022/07/22 00:00:00+00,2022/08/10 00:00:00+00,14,3,1,18957.502,,,,09a76c17-511f-40b6-a006-8531df0c33ac,,2020,119368.183111979,122238621.277801
43635,2022,CA,CDF,SKU,MOUNTAIN,00007586,2022/09/02 00:00:00+00,2022/10/02 00:00:00+00,14,7,1,13440.71, , ,,ee462846-a630-4a0a-b273-b2d4d9f3d208,,2020,172408.593727105,96936212.3570214
43766,2022,CA,USF,KNF,MCKINNEY,00006177,2022/07/29 00:00:00+00,2022/11/11 00:00:00+00,14,3,1,60102.258,4630026A-7802-477E-9133-E094C32E8D8C,,,4630026A-7802-477E-9133-E094C32E8D8C,,2020,227045.438395449,438181343.215377
43767,2022,CA,USF,KNF,YETI,00006200,2022/07/30 00:00:00+00,2022/09/03 00:00:00+00,14,3,1,7886.0107,CBF463F1-943D-43FC-A4E5-D50647817B6F,,,CBF463F1-943D-43FC-A4E5-D50647817B6F,,2020,50192.0137125042,57542115.8874708
43770,2022,CA,USF,SRF,AMMON,00000635,2022/08/05 00:00:00+00,2022/09/06 00:00:00+00,14,3,1,11464.898,C403F1AF-8762-41CE-A75E-5A4508B122E2,2022 SRF Lightning Complex,00000620,C403F1AF-8762-41CE-A75E-5A4508B122E2,,2020,64551.656766899,81126625.4402897
43771,2022,CA,USF,SRF,CAMPBELL,00000616,2022/08/05 00:00:00+00,2022/09/09 00:00:00+00,14,3,1,30132.848,63341D1A-DA35-4F72-9207-43688381FBA4,2022 SRF Lightning Complex,00000620,63341D1A-DA35-4F72-9207-43688381FBA4,,2020,118434.522970769,213957954.430707
43779,2022,CA,USF,TNF,MOSQUITO,00001371,2022/09/07 00:00:00+00,2022/10/22 00:00:00+00,9,3,1,76771.445,44773D0C-F5B6-4413-BAE1-4C929BF9E912,,,44773D0C-F5B6-4413-BAE1-4C929BF9E912,,2020,273643.950755873,515461760.684132
43780,2022,CA,USF,MDF,BARNES,00000896,2022/09/07 00:00:00+00,2022/11/01 00:00:00+00,1,7,1,5840.5747,0AA067F2-E9B8-426B-BBDE-F9DC2A00A95F,,,0AA067F2-E9B8-426B-BBDE-F9DC2A00A95F,,2020,64728.556052828,42656929.826851
43818,2022,CA,CCO,LAC,ROUTE,00294803,2022/08/31 00:00:00+00,2022/09/07 00:00:00+00,14,7,1,5227.9233,,,,E27C88E9-90B0-4557-8DB3-3ED1232D95A0,,2020,32350.6960298259,31259236.4944176
43835,2022,CA,CDF,RRU,FAIRVIEW,00129712,2022/09/06 00:00:00+00,2022/09/30 00:00:00+00,14,1,1,28097.873, ,,,A4DEF98D-98F0-46AC-A17B-9F7AD6116CE3,,2020,150836.612228821,164597174.34684
43840,2022,CA,NPS,YNP,RED,00000056,2022/08/04 00:00:00+00,2022/11/06 00:00:00+00,1,3,2,8432.4189,,,,1E643C3B-3BE4-4669-892B-CF82B46FA820,,2020,125075.917279378,54552181.0566626
43882,2019,CA,USF,MDF,TUCKER,00000509,2019/07/28 00:00:00+00,2019/09/16 00:00:00+00,9,4,1,14142.412,MH73.  ,,,1DAFC388-98C2-401A-849E-C435E3260425,,2010,79831.983003431,103073147.223468
